#                     log  e_log  log   Name              
#RAJ2000    DEJ2000   Age   Age    M                 

05 04 53.0 -70 42 55  7.30  0.20  3.89 NGC1837       
05 05 04.1 -68 54 36  9.05  0.15  4.25 KMK88-11      
05 05 06.7 -69 24 15 10.22  0.07  5.83 NGC1835       
05 05 12.0 -69 12 27  8.10  0.15  4.15 NGC1834       
05 05 12.4 -68 33 11  8.70  0.10  4.31 SL212         
05 05 33.3 -69 06 59  8.95  0.04  4.04 HS112         
05 05 35.7 -68 37 42  8.70  0.05  4.45 NGC1836       
05 05 43.3 -70 19 30  8.50  0.42  3.77 SL224         
05 05 44.9 -68 30 24  9.10  0.10  3.71 HS111         
05 05 54.8 -70 22 21  8.97  0.25  3.89 HS115         
05 06 01.0 -68 37 36  7.90  0.20  4.05 NGC1839       
05 06 17.4 -64 55 11  8.50  0.30  4.81 NGC1831       
05 06 25.9 -68 42 12  9.20  0.10  4.15 HS117         
05 06 28.0 -66 54 24  8.20  0.20  3.96 SL228w        
05 06 33.0 -68 21 48  7.40  0.20  3.88 SL230         
05 06 53.0 -68 43 07  7.95  0.20  3.73 SL234         
05 06 56.0 -69 25 48  9.25  0.10  3.71 OGLE-LMC0114  
05 06 58.3 -69 09 00  7.78  0.05  3.95 SL237         
05 07 07.7 -68 58 17  7.42  0.30  4.97 NGC1847       
05 07 29.0 -67 19 24  7.90  0.40  3.70 NGC1844       
05 07 35.0 -67 27 39  9.17  0.05  5.10 NGC1846       
05 07 35.5 -70 44 56  8.38  0.14  3.95 SL249         
05 07 38.9 -68 32 31  9.43  0.01  4.77 SL244         
05 07 51.0 -69 26 11  9.00  0.10  4.25 SL250         
05 08 45.8 -68 45 38  7.50  0.20  5.42 NGC1850       
05 08 54.6 -68 45 17  8.20  0.10  4.28 BRHT5         
05 09 13.3 -69 16 58  9.25  0.05  3.80 BSDL734       
05 09 14.8 -69 35 16  9.20  0.30  4.92 SL268         
05 09 20.3 -68 50 55  8.05  0.05  4.75 NGC1854       
05 09 23.0 -67 46 42  9.12  0.05  4.51 NGC1852       
05 09 31.5 -69 07 46  8.12  0.30  5.25 NGC1856       
05 09 34.0 -66 18 59  8.30  0.20  3.78 NGC1849       
05 09 43.3 -70 18 35  8.51  0.26  3.77 BSDL767       
05 09 49.3 -69 05 03  9.00  0.10  3.92 HS141         
05 09 58.0 -69 21 11  8.90  0.08  4.32 SL276         
05 10 06.1 -69 05 20  8.25  0.05  3.93 OGLE-LMC0169  
05 10 10.9 -70 22 33  9.13  0.10  3.71 SL282         
05 10 16.0 -68 29 31  8.40  0.40  3.72 SL278         
05 10 20.0 -68 52 45  8.50  0.10  3.81 KMK88-32      
05 10 21.9 -70 46 44  8.79  0.11  4.16 NGC1861       
05 10 30.0 -68 52 21  8.55  0.10  3.95 HS153         
05 10 30.5 -70 54 36  8.72  0.11  3.94 SL291         
05 10 38.9 -68 45 12  8.28  0.30  4.30 NGC1860       
05 10 39.4 -69 02 29  7.65  0.05  3.81 SL288         
05 10 42.2 -70 03 47  8.28  0.30  3.78 SL294         
05 10 56.7 -69 33 31  8.85  0.05  4.15 SL296         
05 11 31.0 -65 14 57  8.10  0.20  3.82 NGC1859       
05 11 39.0 -68 43 48  7.80  0.40  4.28 NGC1863       
05 12 01.0 -69 12 01  8.40  0.10  4.21 SL304         
05 12 09.3 -68 54 41  9.10  0.05  3.71 KMK88-38      
05 12 25.0 -68 46 23  8.80  0.05  4.44 NGC1865       
05 12 27.6 -69 33 14  9.10  0.05  3.83 BSDL880       
05 12 34.0 -69 17 11  7.20  0.60  3.79 KMK88-40      
05 12 50.2 -68 51 51  8.20  0.05  3.91 KMK88-42      
05 12 50.7 -70 28 20  8.54  0.03  4.01 NGC1878       
05 13 03.5 -69 03 02  9.25  0.05  3.95 HS177         
05 13 10.0 -69 07 01  8.15  0.05  4.33 NGC1870       
05 13 11.0 -69 18 43  8.70  0.10  4.93 NGC1872       
05 13 38.9 -65 27 52  8.12  0.30  4.63 NGC1866       
05 13 57.5 -68 42 52  9.13  0.06  4.17 BSDL946       
05 14 36.2 -63 57 14  8.74  0.30  4.53 NGC1868       
05 14 47.0 -69 27 22  9.44  0.35  4.51 HS190         
05 14 49.0 -66 11 01  8.80  0.60  3.71 HS186         
05 14 51.0 -69 25 39  8.95  0.10  3.71 HS191         
05 14 53.0 -66 03 34  8.60  0.60  3.71 BSDL985       
05 15 06.0 -68 58 45  8.30  0.03  4.37 NGC1885       
05 15 51.0 -69 28 09  8.05  0.05  4.45 NGC1894       
05 16 04.0 -66 19 09  8.10  0.20  3.75 NGC1887       
05 16 37.4 -70 12 39  9.21  0.11  3.77 BSDL1102      
05 16 41.6 -70 32 27  8.61  0.03  3.97 SL352         
05 16 42.4 -69 39 25 10.15  0.07  5.88 NGC1898       
05 16 55.1 -68 52 36  8.85  0.05  3.96 SL349         
05 17 08.4 -68 52 27  9.20  0.10  4.84 H1            
05 17 22.0 -69 20 17  8.08  0.03  5.00 NGC1903       
05 17 27.0 -69 22 35  9.20  0.08  4.75 SL357         
05 17 34.0 -69 30 51  8.70  0.05  4.12 SL358         
05 17 38.0 -68 58 30  8.70  0.10  3.71 HS211         
05 17 49.2 -69 38 39  9.25  0.10  4.98 H2            
05 17 56.2 -69 34 56  8.30  0.07  3.76 HS213         
05 18 10.7 -69 32 25  8.20  0.10  3.72 BRHT10        
05 18 17.0 -66 37 38  8.00  0.20  4.13 NGC1902       
05 18 19.1 -69 32 14  7.58  0.03  4.01 NGC1913       
05 18 37.5 -69 24 25 10.20  0.09  5.79 NGC1916       
05 18 41.7 -69 04 46  9.00  0.10  3.91 H88-269       
05 18 52.4 -69 22 15  9.10  0.05  4.02 HS223A        
05 19 02.0 -69 00 04  9.11  0.05  4.42 NGC1917       
05 19 04.0 -69 48 39  9.00  0.03  3.99 HS227         
05 19 23.8 -69 47 16  8.30  0.10  3.82 NGC1921       
05 19 26.3 -69 32 25  8.50  0.05  4.23 SL385         
05 19 33.7 -69 32 32  9.00  0.10  4.49 SL387         
05 19 50.0 -69 30 01  7.35  0.10  3.92 NGC1922       
05 19 54.3 -68 57 50  9.20  0.03  4.48 SL390         
05 20 12.0 -68 54 15  7.80  0.20  3.79 SL397         
05 20 23.6 -69 35 06  8.50  0.07  4.19 SL402         
05 20 26.0 -69 15 09  8.27  0.22  3.74 H88-281       
05 20 35.0 -69 31 28  8.20  0.10  4.47 NGC1926       
05 20 57.5 -69 28 42  9.23  0.05  4.87 NGC1928       
05 21 14.0 -68 47 00  9.48  0.41  3.86 BSDL1334      
05 21 25.4 -69 56 23  8.75  0.05  4.10 NGC1938       
05 21 27.1 -69 57 01  9.20  0.10  5.08 NGC1939       
05 21 45.0 -65 13 56  8.05  0.20  3.81 SL410         
05 21 49.5 -69 39 07  8.40  0.20  4.10 SL418         
05 21 57.0 -72 29 39  7.84  0.05  3.81 NGC1944       
05 22 03.4 -69 15 18  8.55  0.05  4.17 SL419         
05 22 13.3 -69 30 49  8.40  0.10  4.03 SL423         
05 22 25.0 -68 47 06  8.20  0.40  3.85 SL425         
05 22 26.0 -66 09 09  8.10  0.20  4.04 NGC1932       
05 22 29.5 -70 09 15  8.35  0.05  4.38 NGC1943       
05 22 43.0 -67 11 10  8.00  0.20  3.83 NGC1940       
05 22 45.7 -69 50 49  8.14  0.02  4.20 HS259         
05 23 25.6 -69 01 18  8.70  0.20  3.74 SL434         
05 25 01.9 -69 26 07  8.50  0.05  4.38 SL453         
05 25 19.0 -71 48 11  8.70  0.40  3.73 SL461         
05 25 26.0 -68 50 18  7.90  0.20  3.93 NGC1953       
05 26 04.0 -66 35 50  7.70  0.20  4.18 NGC1951       
05 26 05.0 -67 10 57  8.00  0.20  3.77 BSDL1657      
05 26 24.0 -68 02 48  9.12  0.03  4.16 KMHK898       
05 26 38.0 -71 58 50  7.90  0.20  3.76 HS301A        
05 26 43.0 -69 06 05  7.20  0.20  3.78 NGC1967       
05 27 17.0 -70 44 08  9.03  0.05  4.65 NGC1987       
05 27 17.0 -66 22 07  7.60  0.20  3.99 SL482         
05 27 29.0 -71 52 48  8.00  0.20  3.88 NGC2000       
05 27 40.0 -69 08 03  7.80  0.20  4.76 NGC1984       
05 27 43.0 -68 59 08  7.70  0.20  4.04 SL492         
05 28 03.0 -68 48 42  7.40  0.20  3.89 SL495         
05 28 21.0 -69 08 30  7.70  0.40  3.86 NGC1994       
05 28 26.0 -68 58 56  7.30  0.40  3.70 HS314         
05 28 27.4 -68 38 59  9.08  0.25  4.06 KMHK945       
05 28 34.0 -67 13 30  7.45  0.12  3.75 SL498         
05 28 39.3 -73 37 49  9.26  0.10  4.33 HODGE14       
05 28 45.0 -66 14 10  9.30  0.05  5.33 NGC1978       
05 28 47.6 -68 59 01  8.32  0.41  3.86 HS319         
05 29 00.2 -68 25 08  8.56  0.42  3.81 SL503         
05 29 10.0 -66 35 29  7.60  0.20  4.35 SL502         
05 29 19.0 -69 00 21  7.60  0.20  3.87 BSDL1938      
05 30 02.1 -69 31 36  9.30  0.05  3.91 OGLE-LMC0531  
05 30 10.3 -69 45 09 10.22  0.14  5.49 NGC2005       
05 30 21.0 -66 53 02  7.10  0.20  4.05 NGC2002       
05 30 22.0 -65 54 32  7.50  0.20  3.88 ESO86SC2      
05 30 25.4 -67 13 18  7.81  0.18  3.82 BSDL2001      
05 30 35.0 -70 49 11  8.19  0.05  4.07 NGC2010       
05 30 40.9 -67 17 09  7.30  0.20  4.43 NGC2004       
05 30 53.0 -66 27 59  7.40  0.20  3.97 NGC2003       
05 30 55.0 -70 41 42  7.40  0.20  4.01 SL539         
05 30 58.0 -69 11 03  7.50  0.20  3.96 NGC2009       
05 30 59.0 -71 53 36  7.90  0.20  3.73 SL543         
05 31 07.0 -71 57 45  8.30  0.60  4.11 KMHK1022      
05 31 17.0 -66 57 28  7.40  0.20  4.03 SL538         
05 31 19.0 -66 58 22  7.60  0.20  4.13 NGC2006       
05 31 56.6 -70 09 33 10.25  0.08  5.68 NGC2019       
05 32 01.0 -66 50 57  8.70  0.60  3.71 BSDL2180      
05 32 03.0 -69 22 10  8.22  0.20  3.82 HS346         
05 32 11.9 -69 29 41  8.40  0.10  3.77 SL558         
05 32 18.0 -68 52 28  7.74  0.19  3.72 KMHK1047      
05 32 19.0 -67 31 40  7.50  0.20  3.82 BRHT14b       
05 32 19.0 -67 31 16  7.40  0.20  3.92 NGC2011       
05 32 25.2 -64 44 11  9.34  0.10  5.39 HODGE4        
05 32 33.0 -71 43 01  7.95  0.20  4.15 NGC2025       
05 33 19.0 -68 53 32  9.47  0.03  4.70 BSDL2300      
05 33 20.4 -68 09 10  9.08  0.01  4.29 SL569         
05 33 41.1 -70 59 13  8.20  0.10  5.13 NGC2031       
05 34 28.0 -67 07 29  7.90  0.20  4.07 SL582         
05 34 35.0 -66 03 56  8.30  0.20  3.86 HS358         
05 34 40.0 -67 30 13  7.50  0.20  3.70 KMHK1098      
05 34 40.3 -68 18 18  8.70  0.10  3.89 SL588         
05 34 43.0 -66 57 45  7.60  0.20  3.81 SL586         
05 34 45.5 -69 23 18  9.02  0.04  4.33 HS359         
05 35 16.6 -68 52 14  9.38  0.11  3.78 KMHK1112      
05 35 39.0 -66 01 50  8.00  0.60  3.76 NGC2030       
05 36 00.4 -69 11 50  7.18  0.09  3.90 HDE269828     
05 36 07.0 -71 00 42  8.00  0.40  4.00 NGC2051       
05 36 10.0 -69 11 46  7.30  0.20  3.96 LT-delta      
05 36 28.0 -66 59 26  7.40  0.40  4.27 NGC2041       
05 36 31.4 -68 48 45  8.59  0.07  3.90 SL607         
05 36 34.0 -70 40 18  8.40  0.05  4.20 NGC2056       
05 37 40.5 -67 24 51  8.09  0.27  3.87 NGC2053       
05 37 46.0 -74 46 58  9.19  0.05  4.51 IC2146        
05 38 16.0 -69 03 58  7.40  0.20  3.96 M-OB1         
05 38 22.0 -68 46 51  9.31  0.02  4.00 SL629         
05 38 30.0 -67 19 57  8.30  0.15  4.02 SL628         
05 38 31.1 -68 08 23  9.24  0.11  3.73 BSDL2652      
05 39 30.0 -68 19 21  9.48  0.02  4.00 KMHK1188      
05 40 58.0 -69 26 11  7.70  0.40  3.84 NGC2091       
05 40 58.0 -68 27 53  7.90  0.20  3.71 NGC2088       
05 41 10.0 -69 10 44  9.07  0.24  4.18 BSDL2794      
05 41 49.0 -68 55 15  7.48  0.15  3.80 NGC2093       
05 42 00.0 -67 20 34  7.90  0.20  3.90 KMHK1244      
05 42 08.6 -69 12 44  7.20  0.20  4.48 NGC2100       
05 42 16.0 -68 27 30  7.50  0.20  3.93 NGC2096       
05 42 28.8 -65 21 44  9.51  0.06  5.23 SL663         
05 42 29.0 -68 16 29  7.60  0.20  4.11 NGC2098       
05 43 56.0 -69 10 50  9.01  0.05  4.40 NGC2108       
05 44 19.0 -66 55 04  8.20  0.20  3.86 NGC2105       
05 44 22.0 -68 32 48  8.20  0.40  4.00 NGC2109       
05 44 49.0 -67 19 43  7.90  0.20  3.85 BM32          
05 47 16.0 -66 52 59  8.60  0.40  3.76 SL714         
05 47 46.0 -67 27 03  7.80  0.20  3.80 NGC2117       
05 48 11.6 -71 28 51  9.51  0.06  5.69 NGC2121       
05 50 03.0 -67 43 05  9.17  0.05  4.47 HODGE7        
05 50 15.0 -70 25 40  8.40  0.40  3.85 SL748         
05 50 21.0 -68 39 27  8.40  0.60  3.77 BM112         
05 50 43.0 -65 18 14  8.10  0.20  3.89 LW318         
05 51 22.0 -69 21 39  7.90  0.20  3.94 NGC2127       
05 51 28.0 -71 10 29  8.20  0.20  3.89 NGC2133       
05 51 43.0 -65 19 17  8.20  0.20  3.77 NGC2123       
05 51 55.0 -71 05 51  7.40  0.40  3.94 NGC2134       
05 52 22.0 -67 20 02  7.90  0.40  3.70 NGC2130       
05 52 58.0 -69 29 36  8.00  0.10  4.45 NGC2136       
05 53 49.0 -67 23 09  8.30  0.20  4.15 HS445         
05 54 22.0 -70 54 04  8.30  0.20  3.95 NGC2145       
05 57 32.4 -69 11 49  7.60  0.20  4.31 NGC2157       
05 57 38.0 -67 15 43  9.15  0.05  4.57 NGC2154       
05 57 45.0 -68 27 38  7.90  0.20  4.05 NGC2156       
05 57 51.2 -66 23 58  9.11  0.14  3.97 NGC2153       
05 57 57.0 -68 37 26  8.00  0.20  4.08 NGC2159       
05 57 58.5 -72 58 40  9.33  0.08  5.06 NGC2173       
05 58 11.0 -68 17 24  8.00  0.20  3.75 NGC2160       
05 58 33.3 -65 28 35  9.51  0.06  4.90 NGC2155       
05 58 55.9 -68 31 00  7.70  0.20  4.12 NGC2164       
06 00 04.0 -68 38 13  7.90  0.20  3.90 NGC2172       
06 00 30.4 -63 43 19  9.11  0.14  4.40 NGC2162       
06 01 02.0 -74 43 33  9.04  0.05  4.17 NGC2190       
06 02 05.0 -68 20 08  8.80  0.60  3.96 SL822         
06 04 42.0 -75 26 16  9.26  0.05  5.05 NGC2203       
06 06 17.0 -65 05 54  9.34  0.10  4.42 NGC2193       
06 08 14.9 -62 59 15  9.30  0.09  4.08 SL842         
06 08 34.8 -73 50 12  8.98  0.19  5.03 NGC2209       
06 10 42.2 -71 31 46  9.20  0.11  4.56 NGC2213       
06 10 53.7 -65 02 30  9.13  0.30  4.58 SL855         
06 11 31.5 -69 07 17 10.20  0.01  5.48 NGC2210       
06 12 55.8 -68 15 38  7.60  0.20  4.50 NGC2214       
06 13 27.0 -70 41 42  9.18  0.05  3.94 LW431         
06 14 22.3 -69 50 50 10.18  0.01  5.63 HODGE11       
06 20 42.7 -67 31 10  9.18  0.11  5.18 NGC2231       
06 22 53.0 -68 55 30  9.28  0.05  4.29 NGC2241       
06 25 49.8 -68 55 13  8.82  0.30  4.35 NGC2249       
06 30 12.1 -64 19 42 10.20  0.10  5.41 NGC2257       
