#VMAG	Name	
-7.03	SL586	
-5.98	HS359	
-3.77	KMHK111	
-6.32	NGC2030	
-7.97	HDE2698	
-6.92	NGC2051	
-7.94	LT-delt	
-8.52	NGC2041	
-5.66	SL607	
-6.73	NGC2056	
-6.46	NGC2053	
-6.09	IC2146	
-7.76	M-OB1	
-4.45	SL629	
-6.44	SL628	
-3.93	BSDL265	
-4.08	KMHK118	
-6.95	NGC2091	
-6.32	NGC2088	
-5.55	BSDL279	
-7.22	NGC2093	
-6.79	KMHK124	
-9.93	NGC2100	
-7.51	NGC2096	
-7.58	SL663	
-7.78	NGC2098	
-6.18	NGC2108	
-6.23	NGC2105	
-6.58	NGC2109	
-6.67	BM32	
-5.28	SL714	
-6.70	NGC2117	
-7.85	NGC2121	
-6.24	HODGE7	
-5.85	SL748	
-5.64	BM112	
-6.48	LW318	
-6.90	NGC2127	
-6.30	NGC2133	
-6.01	NGC2123	
-7.71	NGC2134	
-6.31	NGC2130	
-8.62	NGC2136	
-6.77	HS445	
-6.27	NGC2145	
-9.09	NGC2157	
-6.71	NGC2154	
-7.17	NGC2156	
-5.58	NGC2153	
-7.10	NGC2159	
-7.33	NGC2173	
-6.30	NGC2160	
-6.68	NGC2155	
-8.61	NGC2164	
-6.80	NGC2172	
-6.33	NGC2162	
-5.56	NGC2190	
-5.45	SL822	
-7.21	NGC2203	
-6.23	NGC2193	
-5.34	SL842	
-7.90	NGC2209	
-6.48	NGC2213	
-5.01	SL855	
-8.00	NGC2210	
-8.41	NGC2214	
-4.83	LW431	
-7.50	HODGE11	
-7.03	NGC2231	
-5.25	NGC2241	
-6.73	NGC2249	
-7.06	NGC2257	
