#AR	Distancia(pc)	DE
71.929166666666660	47863.009232	-69.373888888888885
72.266666666666666	67920.363262	-69.114722222222213
72.479166666666657	52239.618900	-69.755277777777778
72.655416666666667	99083.194489	-69.984444444444449
73.299166666666665	63679.552091	-68.650277777777788
73.579166666666666	51286.138399	-67.100277777777777
73.770833333333343	49203.953568	-69.673888888888897
73.804166666666660	61944.107508	-68.204722222222230
73.845833333333346	54954.087386	-68.541388888888889
74.032916666666665	55718.574893	-69.246666666666670
74.104583333333338	66988.460942	-68.803888888888892
74.108333333333334	63679.552091	-69.403333333333336
74.141666666666666	52480.746025	-66.473611111111111
74.216666666666669	55718.574893	-69.556111111111107
74.375000000000014	68865.229634	-68.363055555555547
74.462500000000006	57543.993734	-69.393055555555563
74.520833333333343	60534.087475	-67.242222222222225
74.904166666666669	57809.604741	-69.557499999999990
75.266666666666666	54954.087386	-69.082499999999996
75.612499999999997	62517.269278	-70.620833333333323
76.080833333333331	71779.429127	-68.927777777777777
76.220833333333331	101859.138805	-70.715277777777786
76.504166666666663	62230.028517	-68.626666666666665
76.637499999999989	59979.107626	-68.363333333333330
76.720833333333317	56234.132519	-68.718611111111116
76.742916666666659	47424.198526	-69.150000000000006
76.782083333333333	374973.002245	-68.971388888888896
76.870833333333337	47643.098681	-67.323333333333323
77.190833333333330	95940.063152	-68.760555555555555
77.664166666666674	63095.734448	-69.041388888888889
79.570833333333326	63386.971126	-66.627222222222215
79.579583333333332	54701.596289	-69.537222222222226
79.958333333333343	70794.578438	-69.500277777777782
80.049999999999983	59979.107626	-68.904166666666669
80.487499999999997	50118.723363	-72.494166666666672
80.679166666666660	48083.934845	-67.186111111111117
81.358333333333348	52722.986142	-68.838333333333324
81.516666666666680	47863.009232	-66.597222222222214
81.658333333333331	61944.107508	-71.980555555555554
81.679166666666674	48528.850016	-69.101388888888877
81.870833333333337	56493.697481	-71.879999999999995
81.916666666666671	66069.344801	-69.134166666666673
82.012500000000003	70469.306897	-68.811666666666667
82.108333333333334	60813.500128	-68.982222222222219
82.141666666666666	67920.363262	-67.225000000000009
82.291666666666671	88307.990042	-66.591388888888886
82.587500000000006	76207.901003	-66.883888888888890
82.720833333333331	65463.617407	-66.466388888888886
82.729166666666657	60813.500128	-70.695000000000007
82.741666666666660	52966.344389	-69.184166666666670
82.745833333333337	52722.986142	-71.893333333333345
82.820833333333326	69823.240408	-66.957777777777778
82.829166666666666	54701.596289	-66.972777777777779
83.079166666666666	71449.632608	-67.527777777777771
83.079166666666666	44463.126747	-67.521111111111111
83.137499999999989	45708.818961	-71.716944444444451
83.679166666666660	43651.583224	-66.962500000000006
84.029166666666669	52722.986142	-71.011666666666670
84.116666666666660	59703.528658	-66.990555555555559
84.566666666666663	53703.179637	-69.066111111111113
85.241666666666674	63679.552091	-69.436388888888899
85.241666666666674	57279.603099	-68.464722222222221
85.454166666666680	57279.603099	-68.920833333333334
85.566666666666663	58076.441752	-68.458333333333343
85.620833333333337	50350.060879	-68.274722222222223
86.941666666666663	46773.514129	-67.450833333333335
87.841666666666669	51050.499998	-69.360833333333332
88.091666666666669	48083.934845	-67.333888888888879
88.241666666666674	73113.908348	-69.493333333333339
89.385000000000005	70794.578438	-69.196944444444455
89.437500000000000	51286.138399	-68.460555555555558
89.487499999999997	49659.232145	-68.623888888888885
89.545833333333334	49203.953568	-68.289999999999992
89.732916666666668	61659.500186	-68.516666666666666
90.016666666666666	51286.138399	-68.636944444444453
93.232500000000002	73790.423013	-68.260555555555555
